,contributors_count_ar,contributors_count_avg_all_period,contributors_count_avg_last_month,contributors_count_avg_last_week,contributors_count_count_records,contributors_count_max,contributors_count_mean,contributors_count_min,contributors_count_std,page_name,revisions_count_ar,revisions_count_avg_all_period,revisions_count_avg_last_month,revisions_count_avg_last_week,revisions_count_count_records,revisions_count_max,revisions_count_mean,revisions_count_min,revisions_count_std
32,0.0,5.0,5.0,5.0,40,5,5.0,5,0.0,Hoplostethus_mento,0.0,10.0,10.0,10.0,40,10,10.0,10,0.0
33,0.0,18.0,18.0,18.0,40,18,18.0,18,0.0,Humanoid_(альбом),0.0,29.0,29.0,29.0,40,29,29.0,29,0.0
34,0.0,4.0,4.0,4.0,40,4,4.0,4,0.0,Hybognathus_regius,0.0,10.0,10.0,10.0,40,10,10.0,10,0.0
35,0.0,5.0,5.0,5.0,40,5,5.0,5,0.0,Hydac,0.0,12.0,12.0,12.0,40,12,12.0,12,0.0
36,0.0,4.0,4.0,4.0,40,4,4.0,4,0.0,Hylomys_megalotis,0.0,6.0,6.0,6.0,40,6,6.0,6,0.0
37,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,Hypsugo_dolichodon,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0
38,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,Hyundai_Xcient,0.0,22.0,22.0,22.0,40,22,22.0,22,0.0
39,0.0,26.0,26.0,26.0,40,26,26.0,26,0.0,Hyundai_ix35,0.0,51.0,51.0,51.0,40,51,51.0,51,0.0
40,0.0,6.0,6.0,6.0,40,6,6.0,6,0.0,I_Call_Your_Name_(a-ha),0.0,8.0,8.0,8.0,40,8,8.0,8,0.0
41,0.0,2.0,2.0,2.0,40,2,2.0,2,0.0,I'll_Fly_for_You,0.0,4.0,4.0,4.0,40,4,4.0,4,0.0
42,0.948182261453644,11.425,11.566666666666666,12.0,40,12,11.425,11,0.4943429983321297,IC_1011,0.9481822866001932,13.425,13.566666666666666,14.0,40,14,13.425,13,0.4943429983321297
43,0.948182261453644,11.425,11.566666666666666,12.0,40,12,11.425,11,0.4943429983321297,IC_1059,0.9481822529201722,12.425,12.566666666666666,13.0,40,13,12.425,12,0.4943429983321297
44,0.948182261453644,11.425,11.566666666666666,12.0,40,12,11.425,11,0.4943429983321297,IC_1065,0.9481822678926194,15.425,15.566666666666666,16.0,40,16,15.425,15,0.4943429983321297
45,0.9481822529201722,12.425,12.566666666666666,13.0,40,13,12.425,12,0.4943429983321297,IC_1295,0.9481822646474184,14.425,14.566666666666666,15.0,40,15,14.425,14,0.4943429983321297
46,0.9481822462732581,20.425,20.566666666666666,21.0,40,21,20.425,20,0.4943429983321297,IC_1318,0.9481822873245248,22.425,22.566666666666666,23.0,40,23,22.425,22,0.4943429983321297
47,0.9481822798717301,16.425,16.566666666666666,17.0,40,17,16.425,16,0.4943429983321297,IC_1396,0.9481822790535994,18.425,18.566666666666666,19.0,40,19,18.425,18,0.4943429983321297
48,0.0,10.0,10.0,10.0,40,10,10.0,10,0.0,IC_1517,0.0,11.0,11.0,11.0,40,11,11.0,11,0.0
49,0.0,13.0,13.0,13.0,40,13,13.0,13,0.0,IC_167,0.0,14.0,14.0,14.0,40,14,14.0,14,0.0
50,0.0,18.0,18.0,18.0,40,18,18.0,18,0.0,IC_1805,0.0,20.0,20.0,20.0,40,20,20.0,20,0.0
51,0.0,16.0,16.0,16.0,40,16,16.0,16,0.0,IC_1848,0.0,19.0,19.0,19.0,40,19,19.0,19,0.0
52,0.0,9.0,9.0,9.0,40,9,9.0,9,0.0,IC_2006,0.0,10.0,10.0,10.0,40,10,10.0,10,0.0
53,0.0,16.0,16.0,16.0,40,16,16.0,16,0.0,IC_2149,0.0,19.0,19.0,19.0,40,19,19.0,19,0.0
54,0.0,16.0,16.0,16.0,40,16,16.0,16,0.0,IC_2177,0.0,20.0,20.0,20.0,40,20,20.0,20,0.0
55,0.0,9.0,9.0,9.0,40,9,9.0,9,0.0,IC_2220,0.0,11.0,11.0,11.0,40,11,11.0,11,0.0
56,0.0,7.0,7.0,7.0,40,7,7.0,7,0.0,IC_2233,0.0,9.0,9.0,9.0,40,9,9.0,9,0.0
57,0.0,16.0,16.0,16.0,40,16,16.0,16,0.0,IC_2391,0.0,19.0,19.0,19.0,40,19,19.0,19,0.0
58,0.0,10.0,10.0,10.0,40,10,10.0,10,0.0,IC_2395,0.0,12.0,12.0,12.0,40,12,12.0,12,0.0
59,0.0,11.0,11.0,11.0,40,11,11.0,11,0.0,IC_2448,0.0,13.0,13.0,13.0,40,13,13.0,13,0.0
60,0.0,11.0,11.0,11.0,40,11,11.0,11,0.0,IC_2488,0.0,12.0,12.0,12.0,40,12,12.0,12,0.0
61,0.0,12.0,12.0,12.0,40,12,12.0,12,0.0,IC_2497,0.0,13.0,13.0,13.0,40,13,13.0,13,0.0
62,0.0,8.0,8.0,8.0,40,8,8.0,8,0.0,IC_2560,0.0,10.0,10.0,10.0,40,10,10.0,10,0.0
63,0.0,9.0,9.0,9.0,40,9,9.0,9,0.0,IC_2714,0.0,11.0,11.0,11.0,40,11,11.0,11,0.0
64,0.0,14.0,14.0,14.0,40,14,14.0,14,0.0,IC_289,0.0,16.0,16.0,16.0,40,16,16.0,16,0.0
65,0.0,16.0,16.0,16.0,40,16,16.0,16,0.0,IC_298,0.0,18.0,18.0,18.0,40,18,18.0,18,0.0
66,0.0,8.0,8.0,8.0,40,8,8.0,8,0.0,IC_3,0.0,9.0,9.0,9.0,40,9,9.0,9,0.0
67,0.0,8.0,8.0,8.0,40,8,8.0,8,0.0,IC_335,0.0,9.0,9.0,9.0,40,9,9.0,9,0.0
68,0.0,9.0,9.0,9.0,40,9,9.0,9,0.0,IC_3418,0.0,10.0,10.0,10.0,40,10,10.0,10,0.0
69,0.0,11.0,11.0,11.0,40,11,11.0,11,0.0,IC_348,0.0,12.0,12.0,12.0,40,12,12.0,12,0.0
70,0.0,19.0,19.0,19.0,40,19,19.0,19,0.0,IC_349,0.0,21.0,21.0,21.0,40,21,21.0,21,0.0
71,0.0,18.0,18.0,18.0,40,18,18.0,18,0.0,IC_3568,0.0,21.0,21.0,21.0,40,21,21.0,21,0.0
72,0.0,20.0,20.0,20.0,40,20,20.0,20,0.0,IC_405,0.0,23.0,23.0,23.0,40,23,23.0,23,0.0
73,0.0,11.0,11.0,11.0,40,11,11.0,11,0.0,IC_4499,0.0,11.0,11.0,11.0,40,11,11.0,11,0.0
74,0.0,11.0,11.0,11.0,40,11,11.0,11,0.0,IC_4526,0.0,11.0,11.0,11.0,40,11,11.0,11,0.0
75,0.0,12.0,12.0,12.0,40,12,12.0,12,0.0,IC_4592,0.0,14.0,14.0,14.0,40,14,14.0,14,0.0
76,0.0,11.0,11.0,11.0,40,11,11.0,11,0.0,IC_4604,0.0,11.0,11.0,11.0,40,11,11.0,11,0.0
77,0.0,13.0,13.0,13.0,40,13,13.0,13,0.0,IC_4628,0.0,13.0,13.0,13.0,40,13,13.0,13,0.0
78,0.0,11.0,11.0,11.0,40,11,11.0,11,0.0,IC_4651,0.0,12.0,12.0,12.0,40,12,12.0,12,0.0
79,0.0,12.0,12.0,12.0,40,12,12.0,12,0.0,IC_4703,0.0,12.0,12.0,12.0,40,12,12.0,12,0.0
80,0.0,24.0,24.0,24.0,40,24,24.0,24,0.0,IC_5146,0.0,25.0,25.0,25.0,40,25,25.0,25,0.0
81,0.0,12.0,12.0,12.0,40,12,12.0,12,0.0,IC_5148,0.0,13.0,13.0,13.0,40,13,13.0,13,0.0
82,0.0,9.0,9.0,9.0,40,9,9.0,9,0.0,IC_5332,0.0,9.0,9.0,9.0,40,9,9.0,9,0.0
83,0.0,12.0,12.0,12.0,40,12,12.0,12,0.0,IC_883,0.0,13.0,13.0,13.0,40,13,13.0,13,0.0
84,0.8885621116098827,110.95,111.03333333333333,111.14285714285714,40,112,110.95,110,0.3122498999199199,ICTV,0.776491172466003,226.0,226.1,226.42857142857142,40,229,226.0,225,0.5477225575051661
85,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,IDO2,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0
86,0.0,10.0,10.0,10.0,40,10,10.0,10,0.0,IEC_60870-5,0.0,13.0,13.0,13.0,40,13,13.0,13,0.0
87,0.0,7.0,7.0,7.0,40,7,7.0,7,0.0,IFA_W50,0.0,15.0,15.0,15.0,40,15,15.0,15,0.0
88,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,IFT27,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0
89,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,IGFLR1,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0
90,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,IGLL5,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0
91,0.0,6.0,6.0,6.0,40,6,6.0,6,0.0,III_з'їзд_РСДРП,0.0,7.0,7.0,7.0,40,7,7.0,7,0.0
92,0.0,17.0,17.0,17.0,40,17,17.0,17,0.0,IMC_Global,0.0,23.0,23.0,23.0,40,23,23.0,23,0.0
93,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,IMOCA,0.0,5.0,5.0,5.0,40,5,5.0,5,0.0
94,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,INCA1,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0
95,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,INO80E,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0
96,0.0,25.0,25.0,25.0,40,25,25.0,25,0.0,INOGATE,0.0,43.0,43.0,43.0,40,43,43.0,43,0.0
97,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0,INPP5F,0.0,1.0,1.0,1.0,40,1,1.0,1,0.0
98,0.0,18.0,18.0,18.0,40,18,18.0,18,0.0,INRI,0.0,20.0,20.0,20.0,40,20,20.0,20,0.0
99,0.0,12.0,12.0,12.0,40,12,12.0,12,0.0,IPhone_8,0.0,47.0,47.0,47.0,40,47,47.0,47,0.0
